Loaded 1 remote nodes
Node JamesBridges initialized on IP 10.90.74.12
Configuration: threads = 10, eventsPerThread = 500, remoteSendPercent = 25%
Node JamesBridges listening on port 4225
Starting 10 worker threads with 500 events each
Thread-4 LOCAL: Event from JamesBridges to JamesBridges with timestamp 12
Thread-4 SENT: Event from JamesBridges to BraileySharpe with timestamp 16
Thread-1 LOCAL: Event from JamesBridges to JamesBridges with timestamp 4
Thread-6 LOCAL: Event from JamesBridges to JamesBridges with timestamp 14
Thread-1 LOCAL: Event from JamesBridges to JamesBridges with timestamp 24
Thread-6 LOCAL: Event from JamesBridges to JamesBridges with timestamp 26
Thread-1 SENT: Event from JamesBridges to BraileySharpe with timestamp 28
Thread-3 LOCAL: Event from JamesBridges to JamesBridges with timestamp 8
Thread-8 SENT: Event from JamesBridges to BraileySharpe with timestamp 18
Thread-2 LOCAL: Event from JamesBridges to JamesBridges with timestamp 6
Thread-3 LOCAL: Event from JamesBridges to JamesBridges with timestamp 32
Thread-2 LOCAL: Event from JamesBridges to JamesBridges with timestamp 34
Thread-9 LOCAL: Event from JamesBridges to JamesBridges with timestamp 20
Thread-9 LOCAL: Event from JamesBridges to JamesBridges with timestamp 40
Thread-3 LOCAL: Event from JamesBridges to JamesBridges with timestamp 36
Thread-9 LOCAL: Event from JamesBridges to JamesBridges with timestamp 44
Thread-7 LOCAL: Event from JamesBridges to JamesBridges with timestamp 22
Thread-7 LOCAL: Event from JamesBridges to JamesBridges with timestamp 54
Thread-9 LOCAL: Event from JamesBridges to JamesBridges with timestamp 48
Thread-7 LOCAL: Event from JamesBridges to JamesBridges with timestamp 56
Thread-0 SENT: Event from JamesBridges to BraileySharpe with timestamp 2
Thread-7 LOCAL: Event from JamesBridges to JamesBridges with timestamp 60
Thread-7 LOCAL: Event from JamesBridges to JamesBridges with timestamp 62
Thread-7 LOCAL: Event from JamesBridges to JamesBridges with timestamp 64
Thread-7 LOCAL: Event from JamesBridges to JamesBridges with timestamp 66
Thread-7 LOCAL: Event from JamesBridges to JamesBridges with timestamp 68
Thread-7 LOCAL: Event from JamesBridges to JamesBridges with timestamp 70
Thread-7 LOCAL: Event from JamesBridges to JamesBridges with timestamp 74
Thread-7 LOCAL: Event from JamesBridges to JamesBridges with timestamp 76
Thread-7 LOCAL: Event from JamesBridges to JamesBridges with timestamp 78
Thread-6 LOCAL: Event from JamesBridges to JamesBridges with timestamp 30
Thread-6 SENT: Event from JamesBridges to BraileySharpe with timestamp 82
Thread-2 LOCAL: Event from JamesBridges to JamesBridges with timestamp 38
Thread-2 LOCAL: Event from JamesBridges to JamesBridges with timestamp 84
Thread-2 SENT: Event from JamesBridges to BraileySharpe with timestamp 86
Thread-5 LOCAL: Event from JamesBridges to JamesBridges with timestamp 10
Thread-4 SENT: Event from JamesBridges to BraileySharpe with timestamp 42
Thread-3 SENT: Event from JamesBridges to BraileySharpe with timestamp 46
Thread-5 LOCAL: Event from JamesBridges to JamesBridges with timestamp 92
Thread-5 SENT: Event from JamesBridges to BraileySharpe with timestamp 94
Thread-1 SENT: Event from JamesBridges to BraileySharpe with timestamp 50
Thread-9 LOCAL: Event from JamesBridges to JamesBridges with timestamp 58
Thread-9 LOCAL: Event from JamesBridges to JamesBridges with timestamp 100
Thread-9 LOCAL: Event from JamesBridges to JamesBridges with timestamp 102
Thread-9 LOCAL: Event from JamesBridges to JamesBridges with timestamp 106
Thread-9 SENT: Event from JamesBridges to BraileySharpe with timestamp 110
Thread-8 SENT: Event from JamesBridges to BraileySharpe with timestamp 52
Thread-9 LOCAL: Event from JamesBridges to JamesBridges with timestamp 112
Thread-8 SENT: Event from JamesBridges to BraileySharpe with timestamp 114
Thread-0 SENT: Event from JamesBridges to BraileySharpe with timestamp 72
Thread-7 LOCAL: Event from JamesBridges to JamesBridges with timestamp 80
Thread-7 LOCAL: Event from JamesBridges to JamesBridges with timestamp 118
Thread-7 LOCAL: Event from JamesBridges to JamesBridges with timestamp 120
Thread-7 LOCAL: Event from JamesBridges to JamesBridges with timestamp 122
Thread-7 SENT: Event from JamesBridges to BraileySharpe with timestamp 124
Thread-6 LOCAL: Event from JamesBridges to JamesBridges with timestamp 88
Thread-6 LOCAL: Event from JamesBridges to JamesBridges with timestamp 126
Thread-6 LOCAL: Event from JamesBridges to JamesBridges with timestamp 128
Thread-6 LOCAL: Event from JamesBridges to JamesBridges with timestamp 130
Thread-6 LOCAL: Event from JamesBridges to JamesBridges with timestamp 132
Thread-6 LOCAL: Event from JamesBridges to JamesBridges with timestamp 134
Thread-6 LOCAL: Event from JamesBridges to JamesBridges with timestamp 136
Thread-8 LOCAL: Event from JamesBridges to JamesBridges with timestamp 138
Thread-2 LOCAL: Event from JamesBridges to JamesBridges with timestamp 90
Thread-2 LOCAL: Event from JamesBridges to JamesBridges with timestamp 144
Thread-2 LOCAL: Event from JamesBridges to JamesBridges with timestamp 146
Thread-2 SENT: Event from JamesBridges to BraileySharpe with timestamp 148
Thread-4 LOCAL: Event from JamesBridges to JamesBridges with timestamp 96
Thread-4 LOCAL: Event from JamesBridges to JamesBridges with timestamp 152
Thread-4 LOCAL: Event from JamesBridges to JamesBridges with timestamp 154
Thread-4 LOCAL: Event from JamesBridges to JamesBridges with timestamp 158
Thread-5 LOCAL: Event from JamesBridges to JamesBridges with timestamp 98
Thread-5 LOCAL: Event from JamesBridges to JamesBridges with timestamp 162
Thread-4 LOCAL: Event from JamesBridges to JamesBridges with timestamp 160
Thread-5 LOCAL: Event from JamesBridges to JamesBridges with timestamp 164
Thread-5 LOCAL: Event from JamesBridges to JamesBridges with timestamp 168
Thread-5 LOCAL: Event from JamesBridges to JamesBridges with timestamp 170
Thread-5 LOCAL: Event from JamesBridges to JamesBridges with timestamp 172
Thread-3 LOCAL: Event from JamesBridges to JamesBridges with timestamp 104
Thread-3 SENT: Event from JamesBridges to BraileySharpe with timestamp 176
Thread-5 LOCAL: Event from JamesBridges to JamesBridges with timestamp 174
Thread-5 LOCAL: Event from JamesBridges to JamesBridges with timestamp 178
Thread-5 LOCAL: Event from JamesBridges to JamesBridges with timestamp 180
Thread-5 SENT: Event from JamesBridges to BraileySharpe with timestamp 182
Thread-1 SENT: Event from JamesBridges to BraileySharpe with timestamp 108
Thread-2 LOCAL: Event from JamesBridges to JamesBridges with timestamp 184
Thread-2 LOCAL: Event from JamesBridges to JamesBridges with timestamp 186
Thread-2 LOCAL: Event from JamesBridges to JamesBridges with timestamp 188
Thread-2 LOCAL: Event from JamesBridges to JamesBridges with timestamp 190
Thread-9 LOCAL: Event from JamesBridges to JamesBridges with timestamp 116
Thread-9 SENT: Event from JamesBridges to BraileySharpe with timestamp 194
Thread-2 LOCAL: Event from JamesBridges to JamesBridges with timestamp 192
Thread-2 SENT: Event from JamesBridges to BraileySharpe with timestamp 196
Thread-6 SENT: Event from JamesBridges to BraileySharpe with timestamp 140
Thread-8 LOCAL: Event from JamesBridges to JamesBridges with timestamp 142
Thread-8 LOCAL: Event from JamesBridges to JamesBridges with timestamp 198
Thread-8 SENT: Event from JamesBridges to BraileySharpe with timestamp 200
Thread-0 LOCAL: Event from JamesBridges to JamesBridges with timestamp 150
Thread-0 LOCAL: Event from JamesBridges to JamesBridges with timestamp 202
Thread-0 LOCAL: Event from JamesBridges to JamesBridges with timestamp 204
Thread-0 LOCAL: Event from JamesBridges to JamesBridges with timestamp 206
Thread-0 LOCAL: Event from JamesBridges to JamesBridges with timestamp 208
Thread-0 LOCAL: Event from JamesBridges to JamesBridges with timestamp 210
Thread-0 SENT: Event from JamesBridges to BraileySharpe with timestamp 212
Thread-7 LOCAL: Event from JamesBridges to JamesBridges with timestamp 156
Thread-7 LOCAL: Event from JamesBridges to JamesBridges with timestamp 214
Thread-7 LOCAL: Event from JamesBridges to JamesBridges with timestamp 216
Thread-7 SENT: Event from JamesBridges to BraileySharpe with timestamp 218
Thread-4 SENT: Event from JamesBridges to BraileySharpe with timestamp 166
Thread-5 LOCAL: Event from JamesBridges to JamesBridges with timestamp 220
Thread-5 LOCAL: Event from JamesBridges to JamesBridges with timestamp 222
Thread-5 LOCAL: Event from JamesBridges to JamesBridges with timestamp 224
Thread-5 SENT: Event from JamesBridges to BraileySharpe with timestamp 226
Thread-5 LOCAL: Event from JamesBridges to JamesBridges with timestamp 228
Thread-5 LOCAL: Event from JamesBridges to JamesBridges with timestamp 230
Thread-5 LOCAL: Event from JamesBridges to JamesBridges with timestamp 232
Thread-5 LOCAL: Event from JamesBridges to JamesBridges with timestamp 234
Thread-5 LOCAL: Event from JamesBridges to JamesBridges with timestamp 236
Thread-8 SENT: Event from JamesBridges to BraileySharpe with timestamp 238
Thread-8 LOCAL: Event from JamesBridges to JamesBridges with timestamp 242
Thread-5 LOCAL: Event from JamesBridges to JamesBridges with timestamp 240
Thread-5 LOCAL: Event from JamesBridges to JamesBridges with timestamp 246
Thread-8 LOCAL: Event from JamesBridges to JamesBridges with timestamp 244
Thread-8 LOCAL: Event from JamesBridges to JamesBridges with timestamp 250
Thread-8 SENT: Event from JamesBridges to BraileySharpe with timestamp 252
Thread-5 LOCAL: Event from JamesBridges to JamesBridges with timestamp 248
Thread-5 LOCAL: Event from JamesBridges to JamesBridges with timestamp 254
Thread-5 LOCAL: Event from JamesBridges to JamesBridges with timestamp 256
Thread-5 SENT: Event from JamesBridges to BraileySharpe with timestamp 258
Thread-8 SENT: Event from JamesBridges to BraileySharpe with timestamp 260
Thread-8 LOCAL: Event from JamesBridges to JamesBridges with timestamp 262
Thread-9 LOCAL: Event from JamesBridges to JamesBridges with timestamp 266
Thread-8 LOCAL: Event from JamesBridges to JamesBridges with timestamp 268
Thread-9 LOCAL: Event from JamesBridges to JamesBridges with timestamp 270
Thread-9 LOCAL: Event from JamesBridges to JamesBridges with timestamp 274
